,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
34108,30,technician,married,secondary,no,776,no,no,cellular,30,apr,861,2,-1,0,unknown,yes
3987,44,blue-collar,married,primary,no,195,yes,no,unknown,16,may,541,5,-1,0,unknown,no
31282,23,management,single,tertiary,no,1506,no,no,cellular,9,mar,131,4,-1,0,unknown,yes
44549,49,services,married,primary,no,1830,yes,no,cellular,13,aug,261,1,179,1,success,yes
33827,72,self-employed,married,tertiary,no,132,no,no,cellular,27,apr,444,1,-1,0,unknown,yes
1015,34,blue-collar,married,secondary,no,2308,yes,no,unknown,7,may,1062,1,-1,0,unknown,no
1726,29,admin.,married,secondary,no,0,yes,no,unknown,9,may,121,1,-1,0,unknown,no
37596,28,blue-collar,single,primary,no,54,yes,no,cellular,14,may,533,1,371,1,other,yes
31083,44,admin.,married,tertiary,no,348,yes,yes,cellular,16,feb,170,2,-1,0,unknown,yes
28931,40,technician,single,tertiary,no,1646,yes,no,cellular,2,feb,215,1,242,2,failure,yes
958,38,services,married,secondary,no,-32,yes,no,unknown,7,may,154,2,-1,0,unknown,no
2181,32,management,married,primary,no,142,yes,no,unknown,12,may,101,1,-1,0,unknown,no
32080,36,management,married,tertiary,no,926,no,no,cellular,14,apr,216,1,-1,0,unknown,yes
4852,33,services,single,secondary,no,189,no,no,unknown,21,may,27,10,-1,0,unknown,no
41436,59,admin.,single,secondary,no,4744,no,no,cellular,4,sep,879,1,-1,0,unknown,yes
41946,78,retired,married,unknown,no,4807,no,no,telephone,22,oct,1002,4,-1,0,unknown,yes
2641,33,blue-collar,married,primary,no,-306,yes,yes,unknown,13,may,851,4,-1,0,unknown,no
42478,64,retired,married,primary,no,43,no,no,cellular,10,dec,232,1,-1,0,unknown,yes
27396,30,admin.,married,secondary,no,4457,yes,no,cellular,21,nov,566,4,-1,0,unknown,yes
1207,44,housemaid,married,secondary,no,281,yes,no,unknown,8,may,604,1,-1,0,unknown,no
4189,38,management,single,tertiary,no,889,no,no,unknown,19,may,197,4,-1,0,unknown,no
5005,30,technician,divorced,secondary,no,3100,yes,no,unknown,21,may,154,4,-1,0,unknown,no
2647,30,management,single,tertiary,no,623,yes,no,unknown,13,may,159,2,-1,0,unknown,no
44538,25,student,single,unknown,no,1003,no,no,cellular,12,aug,361,1,-1,0,unknown,yes
4414,30,management,single,tertiary,no,3110,yes,no,unknown,20,may,133,1,-1,0,unknown,no
40442,46,management,divorced,tertiary,no,1329,no,no,cellular,3,jul,247,2,-1,0,unknown,yes
1584,33,admin.,married,secondary,no,4012,no,yes,unknown,8,may,337,4,-1,0,unknown,no
27109,41,services,single,secondary,no,92,no,no,cellular,21,nov,372,1,-1,0,unknown,yes
2147,39,admin.,single,secondary,no,496,yes,no,unknown,12,may,788,2,-1,0,unknown,no
44005,38,management,single,tertiary,no,623,no,no,cellular,28,jun,297,4,144,4,other,yes
44098,70,retired,married,primary,no,2795,no,no,cellular,8,jul,480,1,181,2,success,yes
42690,85,retired,married,primary,no,1255,no,no,cellular,15,jan,233,3,-1,0,unknown,yes
1750,28,technician,single,tertiary,no,2269,yes,no,unknown,9,may,331,1,-1,0,unknown,no
955,42,technician,married,tertiary,no,644,yes,no,unknown,7,may,19,1,-1,0,unknown,no
239,49,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,389,1,-1,0,unknown,no
42646,21,student,single,secondary,no,71,no,no,cellular,13,jan,169,2,-1,0,unknown,yes
44324,54,management,married,tertiary,no,752,no,no,telephone,29,jul,211,5,491,4,other,yes
1084,34,blue-collar,married,secondary,no,615,yes,no,unknown,7,may,225,2,-1,0,unknown,no
42519,27,student,single,secondary,no,538,no,no,cellular,18,dec,170,4,197,2,success,yes
43036,49,services,married,primary,no,1830,yes,no,cellular,15,feb,136,1,-1,0,unknown,yes
5361,56,blue-collar,married,primary,no,246,yes,no,unknown,23,may,438,1,-1,0,unknown,no
2307,43,blue-collar,married,primary,no,1401,yes,no,unknown,12,may,195,2,-1,0,unknown,no
892,31,services,married,tertiary,no,309,yes,yes,unknown,7,may,294,1,-1,0,unknown,no
5221,37,technician,single,secondary,no,363,yes,no,unknown,23,may,110,3,-1,0,unknown,no
13467,58,entrepreneur,married,tertiary,no,776,yes,no,telephone,9,jul,990,1,-1,0,unknown,yes
1796,28,services,single,secondary,no,234,no,no,unknown,9,may,107,3,-1,0,unknown,no
42856,37,technician,single,secondary,no,265,yes,yes,cellular,3,feb,140,1,366,2,failure,yes
156,51,blue-collar,married,unknown,no,1883,yes,no,unknown,5,may,57,1,-1,0,unknown,no
42195,33,management,married,tertiary,no,22867,yes,no,cellular,10,nov,266,2,92,3,failure,yes
40220,41,management,married,tertiary,no,254,no,no,cellular,9,jun,183,2,294,2,failure,yes
41159,43,admin.,married,secondary,no,132,no,no,cellular,19,aug,574,1,84,3,success,yes
34089,25,student,single,secondary,no,1608,no,no,cellular,30,apr,664,2,-1,0,unknown,yes
17228,43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,-1,0,unknown,yes
1368,31,blue-collar,married,secondary,no,335,yes,no,unknown,8,may,226,1,-1,0,unknown,no
1339,43,blue-collar,married,primary,no,186,yes,no,unknown,8,may,178,1,-1,0,unknown,no
3944,49,technician,divorced,tertiary,no,874,yes,no,unknown,16,may,152,2,-1,0,unknown,no
4980,29,blue-collar,single,secondary,no,0,no,no,unknown,21,may,623,1,-1,0,unknown,no
3489,33,management,divorced,tertiary,no,893,yes,no,unknown,15,may,279,9,-1,0,unknown,no
763,30,self-employed,single,tertiary,no,800,no,no,unknown,6,may,95,2,-1,0,unknown,no
21325,47,technician,married,secondary,no,1219,no,no,cellular,18,aug,697,4,-1,0,unknown,yes
4636,31,blue-collar,married,secondary,no,213,yes,no,unknown,20,may,74,2,-1,0,unknown,no
1239,41,technician,married,unknown,no,254,yes,no,unknown,8,may,690,1,-1,0,unknown,no
3190,41,blue-collar,married,secondary,no,1384,yes,no,unknown,15,may,1162,4,-1,0,unknown,yes
4771,39,blue-collar,married,primary,no,5,yes,no,unknown,21,may,167,1,-1,0,unknown,no
2015,31,blue-collar,married,secondary,no,42,yes,no,unknown,9,may,210,3,-1,0,unknown,no
2361,34,blue-collar,single,primary,no,2146,yes,no,unknown,13,may,138,1,-1,0,unknown,no
2023,31,management,single,tertiary,no,606,yes,no,unknown,9,may,111,2,-1,0,unknown,no
44273,30,student,single,tertiary,no,3026,no,no,cellular,23,jul,251,1,535,1,failure,yes
29064,43,management,divorced,secondary,no,51,no,no,cellular,2,feb,430,1,-1,0,unknown,yes
37377,59,services,married,secondary,no,2965,yes,no,cellular,13,may,1970,3,-1,0,unknown,yes
39651,21,admin.,single,secondary,no,524,no,no,cellular,26,may,185,1,-1,0,unknown,yes
4145,25,blue-collar,married,secondary,no,77,yes,no,unknown,19,may,31,1,-1,0,unknown,no
31030,31,management,married,tertiary,no,3,yes,yes,cellular,11,feb,331,1,-1,0,unknown,yes
41728,24,blue-collar,single,secondary,no,1857,yes,no,cellular,8,oct,147,1,92,5,other,yes
2244,46,blue-collar,married,primary,no,633,yes,no,unknown,12,may,236,10,-1,0,unknown,no
2709,35,blue-collar,divorced,primary,no,300,yes,no,unknown,13,may,945,2,-1,0,unknown,yes
4455,31,blue-collar,married,secondary,no,2,yes,no,unknown,20,may,182,2,-1,0,unknown,yes
33788,24,services,single,unknown,no,2022,no,no,cellular,23,apr,159,4,-1,0,unknown,yes
24084,49,admin.,married,secondary,no,10250,yes,no,telephone,24,oct,97,1,-1,0,unknown,yes
4514,31,admin.,single,secondary,no,2144,yes,no,unknown,20,may,89,1,-1,0,unknown,no
44496,33,management,married,tertiary,no,1514,no,no,cellular,10,aug,447,1,728,2,failure,yes
3484,48,entrepreneur,married,tertiary,no,981,yes,no,unknown,15,may,995,2,-1,0,unknown,no
5223,33,technician,single,secondary,no,486,yes,no,unknown,23,may,363,2,-1,0,unknown,no
42398,68,retired,married,tertiary,no,2820,no,no,cellular,3,dec,154,1,97,2,failure,yes
5180,38,blue-collar,single,primary,no,-5,yes,no,unknown,21,may,30,12,-1,0,unknown,no
1080,37,self-employed,married,primary,no,0,no,no,unknown,7,may,112,4,-1,0,unknown,no
4881,30,blue-collar,married,primary,no,453,yes,no,unknown,21,may,445,2,-1,0,unknown,no
2207,48,blue-collar,single,primary,no,396,yes,no,unknown,12,may,194,3,-1,0,unknown,no
42225,53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,nov,241,1,92,1,success,yes
8628,45,services,single,primary,no,1893,yes,no,unknown,3,jun,1259,6,-1,0,unknown,yes
43356,57,management,married,tertiary,no,10583,no,no,cellular,25,mar,272,1,178,6,success,yes
5114,30,blue-collar,married,primary,no,1317,yes,no,unknown,21,may,395,2,-1,0,unknown,no
1644,33,blue-collar,divorced,primary,no,60,no,no,unknown,9,may,131,1,-1,0,unknown,no
43269,39,management,married,tertiary,no,494,no,no,cellular,10,mar,106,2,478,3,failure,yes
719,38,admin.,married,secondary,no,3047,yes,no,unknown,6,may,285,2,-1,0,unknown,no
3018,34,blue-collar,married,secondary,no,683,yes,no,unknown,14,may,245,2,-1,0,unknown,no
43477,75,retired,married,secondary,no,3771,no,no,telephone,15,apr,185,1,181,2,success,yes
44236,57,retired,married,secondary,no,3738,yes,no,cellular,20,jul,178,2,92,8,failure,yes
3981,30,management,single,tertiary,no,5,no,no,unknown,16,may,476,3,-1,0,unknown,no
34768,39,technician,divorced,tertiary,yes,3,no,no,cellular,6,may,488,1,-1,0,unknown,yes
16897,26,technician,single,secondary,no,941,no,yes,cellular,25,jul,784,1,-1,0,unknown,yes
2509,41,blue-collar,married,secondary,no,196,yes,no,unknown,13,may,488,1,-1,0,unknown,no
4833,34,technician,single,secondary,no,1161,yes,no,unknown,21,may,192,1,-1,0,unknown,no
842,31,technician,single,secondary,no,147,yes,no,unknown,7,may,374,1,-1,0,unknown,no
24044,36,self-employed,single,tertiary,no,-103,yes,yes,telephone,17,oct,3253,1,-1,0,unknown,yes
2716,41,management,divorced,tertiary,no,1576,yes,no,unknown,13,may,232,2,-1,0,unknown,no
2609,42,management,married,secondary,no,-32,yes,no,unknown,13,may,77,1,-1,0,unknown,no
1385,33,housemaid,married,primary,no,1713,yes,no,unknown,8,may,22,1,-1,0,unknown,no
14591,30,entrepreneur,married,primary,no,2686,yes,no,cellular,15,jul,808,3,-1,0,unknown,yes
25674,51,retired,married,tertiary,no,580,no,no,cellular,19,nov,694,2,-1,0,unknown,yes
40276,35,self-employed,single,tertiary,no,71,no,no,cellular,15,jun,651,1,-1,0,unknown,yes
34565,31,blue-collar,single,secondary,no,196,yes,no,cellular,5,may,568,1,341,7,failure,yes
28220,53,blue-collar,married,primary,yes,-462,no,no,cellular,29,jan,470,1,-1,0,unknown,yes
31123,41,technician,divorced,secondary,no,4047,yes,no,cellular,18,feb,343,1,-1,0,unknown,yes
13104,26,self-employed,single,secondary,no,551,no,no,cellular,8,jul,531,1,-1,0,unknown,yes
1400,47,management,married,primary,no,1222,yes,no,unknown,8,may,28,3,-1,0,unknown,no
4595,32,admin.,divorced,secondary,no,138,yes,yes,unknown,20,may,158,1,-1,0,unknown,no
9888,38,technician,married,primary,no,217,yes,no,unknown,9,jun,491,6,-1,0,unknown,yes
64,49,blue-collar,married,unknown,no,154,yes,no,unknown,5,may,357,1,-1,0,unknown,no
44070,31,student,single,secondary,no,3511,no,no,cellular,2,jul,667,1,-1,0,unknown,yes
1161,50,blue-collar,married,primary,no,362,yes,no,unknown,8,may,201,2,-1,0,unknown,no
34215,36,services,single,secondary,no,365,no,no,cellular,4,may,643,1,-1,0,unknown,yes
3982,54,management,single,tertiary,no,4393,yes,no,unknown,16,may,1297,3,-1,0,unknown,yes
6270,37,admin.,married,secondary,no,274,yes,no,unknown,27,may,731,3,-1,0,unknown,yes
43262,52,unemployed,married,secondary,no,1416,no,no,cellular,10,mar,436,2,182,1,success,yes
43260,28,management,single,tertiary,no,187,no,no,cellular,9,mar,295,1,-1,0,unknown,yes
4056,35,blue-collar,married,secondary,no,474,yes,no,unknown,19,may,55,3,-1,0,unknown,no
31105,47,technician,married,secondary,no,335,no,no,cellular,17,feb,226,1,-1,0,unknown,yes
19018,53,blue-collar,married,secondary,no,-8,no,no,cellular,5,aug,794,1,-1,0,unknown,yes
42059,53,technician,married,tertiary,no,395,no,no,cellular,29,oct,136,1,148,1,failure,yes
4378,41,management,married,primary,no,2592,yes,no,unknown,19,may,500,3,-1,0,unknown,no
33722,39,admin.,married,tertiary,no,1108,no,no,cellular,21,apr,204,1,-1,0,unknown,yes
43243,64,unemployed,divorced,secondary,no,588,no,no,cellular,8,mar,409,1,-1,0,unknown,yes
16811,28,services,single,secondary,no,340,yes,no,cellular,24,jul,821,2,-1,0,unknown,yes
2982,57,technician,married,tertiary,no,-1,no,no,unknown,14,may,850,2,-1,0,unknown,yes
33930,54,admin.,divorced,secondary,no,1693,no,no,cellular,30,apr,1277,1,87,2,other,yes
711,40,blue-collar,divorced,secondary,no,0,yes,no,unknown,6,may,121,2,-1,0,unknown,no
4458,30,blue-collar,single,secondary,no,4648,yes,no,unknown,20,may,37,1,-1,0,unknown,no
3602,52,blue-collar,married,secondary,no,2206,yes,no,unknown,15,may,875,5,-1,0,unknown,no
2137,31,admin.,married,secondary,no,337,no,no,unknown,12,may,51,1,-1,0,unknown,no
19128,52,services,married,secondary,no,1000,no,no,cellular,5,aug,766,2,-1,0,unknown,yes
3117,57,technician,single,secondary,no,5961,yes,no,unknown,14,may,166,3,-1,0,unknown,no
43238,83,retired,married,tertiary,no,4761,no,no,telephone,8,mar,659,1,-1,0,unknown,yes
2573,46,blue-collar,married,primary,no,0,yes,no,unknown,13,may,204,3,-1,0,unknown,no
33290,44,blue-collar,married,secondary,yes,105,yes,no,cellular,20,apr,586,1,-1,0,unknown,yes
4967,32,entrepreneur,married,tertiary,no,4465,yes,no,unknown,21,may,161,2,-1,0,unknown,no
503,29,blue-collar,married,secondary,no,9,yes,no,unknown,6,may,349,1,-1,0,unknown,no
3418,60,services,married,unknown,no,132,yes,no,unknown,15,may,29,1,-1,0,unknown,no
713,56,retired,divorced,primary,no,4,yes,no,unknown,6,may,31,3,-1,0,unknown,no
4715,39,management,single,secondary,no,247,yes,no,unknown,20,may,130,2,-1,0,unknown,no
1877,38,blue-collar,married,secondary,no,171,yes,no,unknown,9,may,286,5,-1,0,unknown,no
44228,42,management,married,unknown,no,1519,no,no,cellular,19,jul,268,1,-1,0,unknown,yes
3694,45,self-employed,married,unknown,no,-257,no,no,unknown,16,may,448,2,-1,0,unknown,no
3760,28,services,single,secondary,no,45,yes,no,unknown,16,may,345,1,-1,0,unknown,no
19155,55,technician,married,tertiary,no,169,no,yes,cellular,5,aug,618,2,-1,0,unknown,yes
40185,33,technician,single,secondary,no,66,no,no,cellular,5,jun,157,2,-1,0,unknown,yes
5143,36,blue-collar,married,secondary,no,342,yes,yes,unknown,21,may,88,3,-1,0,unknown,no
43893,80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,yes
40262,34,blue-collar,divorced,unknown,no,172,no,no,cellular,15,jun,177,1,-1,0,unknown,yes
3666,41,management,married,secondary,no,218,yes,no,unknown,16,may,247,1,-1,0,unknown,no
12276,25,blue-collar,single,primary,no,52,yes,no,unknown,24,jun,528,2,-1,0,unknown,yes
5171,46,blue-collar,married,secondary,no,2173,yes,no,unknown,21,may,98,5,-1,0,unknown,no
5241,36,management,married,tertiary,no,8564,yes,no,unknown,23,may,125,1,-1,0,unknown,no
39358,28,admin.,single,secondary,no,0,yes,yes,cellular,18,may,390,5,-1,0,unknown,yes
3853,56,housemaid,married,primary,no,82,no,no,unknown,16,may,215,1,-1,0,unknown,no
44556,35,management,married,tertiary,no,2717,no,no,cellular,13,aug,394,6,-1,0,unknown,yes
492,36,blue-collar,married,secondary,no,0,yes,no,unknown,6,may,337,1,-1,0,unknown,no
3702,42,admin.,divorced,secondary,no,153,yes,no,unknown,16,may,844,1,-1,0,unknown,yes
1914,25,admin.,single,secondary,no,61,yes,no,unknown,9,may,345,9,-1,0,unknown,no
31210,43,blue-collar,married,primary,no,3917,no,no,cellular,2,mar,154,1,-1,0,unknown,yes
2038,34,blue-collar,divorced,secondary,no,-294,yes,no,unknown,12,may,163,2,-1,0,unknown,no
4766,32,blue-collar,married,secondary,no,157,yes,no,unknown,20,may,315,1,-1,0,unknown,no
2574,41,technician,single,unknown,no,356,yes,no,unknown,13,may,93,2,-1,0,unknown,no
469,44,self-employed,married,tertiary,no,292,yes,no,unknown,6,may,162,1,-1,0,unknown,no
45187,32,services,single,secondary,no,1168,yes,no,cellular,16,nov,411,1,-1,0,unknown,yes
37687,35,blue-collar,single,secondary,no,4963,yes,no,cellular,14,may,456,1,300,1,failure,yes
41704,44,management,married,unknown,no,282,no,no,cellular,6,oct,296,3,-1,0,unknown,yes
460,58,blue-collar,divorced,secondary,no,-11,no,no,unknown,6,may,112,1,-1,0,unknown,no
5415,55,technician,married,tertiary,no,440,no,no,unknown,23,may,556,1,-1,0,unknown,no
43649,37,management,married,tertiary,no,2283,no,no,cellular,6,may,243,2,98,2,failure,yes
5108,39,management,married,tertiary,no,2271,yes,no,unknown,21,may,575,2,-1,0,unknown,no
31097,51,technician,married,secondary,no,196,yes,yes,cellular,17,feb,88,1,-1,0,unknown,yes
2944,60,retired,married,secondary,no,3932,yes,no,unknown,14,may,407,2,-1,0,unknown,no
2070,42,blue-collar,married,primary,no,-25,yes,no,unknown,12,may,62,2,-1,0,unknown,no
5441,35,admin.,divorced,secondary,no,30,no,no,unknown,23,may,186,1,-1,0,unknown,no
4,33,unknown,single,unknown,no,1,no,no,unknown,5,may,198,1,-1,0,unknown,no
2066,54,admin.,married,secondary,no,42,yes,no,unknown,12,may,192,2,-1,0,unknown,no
2314,36,blue-collar,married,secondary,no,1554,yes,no,unknown,12,may,325,4,-1,0,unknown,no
44011,26,management,single,tertiary,no,222,no,no,cellular,28,jun,247,1,63,2,success,yes
30538,58,management,married,tertiary,no,3342,no,no,cellular,5,feb,344,5,-1,0,unknown,yes
3030,42,blue-collar,married,secondary,no,171,yes,no,unknown,14,may,55,1,-1,0,unknown,no
2205,29,admin.,single,secondary,no,382,yes,no,unknown,12,may,460,1,-1,0,unknown,no
41990,38,blue-collar,single,secondary,no,0,no,no,cellular,27,oct,297,1,75,3,failure,yes
5316,30,management,single,tertiary,no,136,yes,no,unknown,23,may,152,1,-1,0,unknown,no
40342,38,self-employed,single,tertiary,no,605,no,no,telephone,18,jun,1603,10,-1,0,unknown,yes
2457,43,blue-collar,married,unknown,no,24,yes,no,unknown,13,may,23,2,-1,0,unknown,no
3804,27,technician,single,secondary,no,1742,yes,no,unknown,16,may,787,1,-1,0,unknown,yes
1722,54,admin.,married,secondary,no,222,yes,no,unknown,9,may,45,2,-1,0,unknown,no
3248,49,entrepreneur,married,tertiary,no,221,yes,no,unknown,15,may,305,1,-1,0,unknown,no
39775,45,admin.,married,tertiary,no,2552,no,no,cellular,1,jun,69,1,293,7,failure,yes
41617,27,management,single,tertiary,no,20585,no,no,cellular,23,sep,299,1,100,1,success,yes
5211,28,self-employed,single,secondary,no,131,yes,no,unknown,23,may,407,14,-1,0,unknown,no
42535,31,technician,married,tertiary,no,3338,yes,no,cellular,21,dec,264,2,-1,0,unknown,yes
2064,44,services,divorced,secondary,no,210,no,yes,unknown,12,may,111,2,-1,0,unknown,no
2783,52,management,married,tertiary,no,258,no,no,unknown,14,may,188,1,-1,0,unknown,no
37190,39,management,married,tertiary,no,297,yes,no,cellular,13,may,734,2,-1,0,unknown,yes
40810,53,blue-collar,divorced,primary,no,4401,no,no,telephone,11,aug,254,1,-1,0,unknown,yes
8570,26,blue-collar,single,secondary,yes,-36,yes,no,unknown,3,jun,482,2,-1,0,unknown,yes
40439,31,blue-collar,married,secondary,no,625,yes,no,cellular,2,jul,135,2,49,3,failure,yes
45204,73,retired,married,secondary,no,2850,no,no,cellular,17,nov,300,1,40,8,failure,yes
39459,26,student,single,unknown,no,689,no,no,cellular,25,may,678,2,-1,0,unknown,yes
865,35,technician,married,secondary,no,118,yes,no,unknown,7,may,236,1,-1,0,unknown,no
14562,25,services,single,secondary,no,333,no,yes,cellular,15,jul,1056,2,-1,0,unknown,yes
39910,29,technician,single,secondary,no,1165,no,no,cellular,2,jun,245,1,-1,0,unknown,yes
31843,31,management,single,secondary,no,1088,yes,no,cellular,8,apr,575,2,-1,0,unknown,yes
41613,45,blue-collar,married,secondary,no,10252,no,no,cellular,22,sep,173,1,141,2,success,yes
32199,32,blue-collar,married,secondary,yes,-53,yes,no,cellular,16,apr,648,1,272,1,other,yes
4428,33,admin.,single,tertiary,no,622,yes,no,unknown,20,may,243,1,-1,0,unknown,no
3975,44,technician,single,secondary,no,696,yes,no,unknown,16,may,680,3,-1,0,unknown,no
34220,33,technician,single,tertiary,no,1636,yes,no,cellular,4,may,592,1,66,1,success,yes
3222,48,services,divorced,secondary,no,0,yes,yes,unknown,15,may,263,1,-1,0,unknown,no
1450,32,services,single,secondary,no,459,yes,no,unknown,8,may,202,2,-1,0,unknown,no
3918,42,blue-collar,married,secondary,no,314,yes,yes,unknown,16,may,269,2,-1,0,unknown,no
15415,30,admin.,divorced,secondary,no,10,yes,no,cellular,18,jul,658,2,-1,0,unknown,yes
34063,25,management,single,tertiary,no,219,no,no,cellular,30,apr,458,1,-1,0,unknown,yes
31526,47,blue-collar,married,secondary,no,1612,yes,no,cellular,2,apr,1164,1,-1,0,unknown,yes
5973,30,services,married,secondary,no,129,yes,no,unknown,26,may,1446,7,-1,0,unknown,yes
2111,34,blue-collar,single,secondary,no,381,yes,no,unknown,12,may,102,1,-1,0,unknown,no
2252,42,management,married,primary,no,470,yes,no,unknown,12,may,221,1,-1,0,unknown,no
5110,48,blue-collar,married,primary,no,5366,yes,no,unknown,21,may,248,3,-1,0,unknown,no
18023,37,services,married,secondary,no,4151,yes,yes,cellular,30,jul,543,4,-1,0,unknown,yes
44570,60,services,married,tertiary,no,4256,yes,no,cellular,16,aug,239,3,761,1,other,yes
31905,42,entrepreneur,married,secondary,no,0,yes,no,cellular,9,apr,331,1,140,4,failure,yes
43635,72,retired,married,primary,no,2304,no,no,telephone,5,may,510,4,-1,0,unknown,yes
4875,38,services,single,primary,no,471,yes,no,unknown,21,may,180,1,-1,0,unknown,no
1064,29,services,single,secondary,no,-158,yes,no,unknown,7,may,128,2,-1,0,unknown,no
251,53,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,181,1,-1,0,unknown,no
34308,31,technician,married,secondary,no,4182,yes,no,cellular,4,may,347,2,-1,0,unknown,yes
2501,44,blue-collar,married,secondary,no,476,yes,no,unknown,13,may,473,1,-1,0,unknown,no
38449,60,retired,divorced,secondary,no,-639,yes,no,cellular,15,may,585,1,-1,0,unknown,yes
31148,37,technician,single,secondary,no,1130,no,no,cellular,26,feb,152,1,-1,0,unknown,yes
1014,52,services,divorced,secondary,no,220,yes,no,unknown,7,may,143,3,-1,0,unknown,no
40681,66,retired,married,tertiary,no,3,no,no,cellular,6,aug,550,1,-1,0,unknown,yes
34095,46,management,married,tertiary,no,699,no,no,cellular,30,apr,970,1,87,1,failure,yes
1736,37,blue-collar,divorced,secondary,no,-271,yes,no,unknown,9,may,172,1,-1,0,unknown,no
4112,25,blue-collar,single,secondary,no,815,yes,no,unknown,19,may,268,6,-1,0,unknown,no
33744,33,admin.,married,tertiary,no,882,no,no,cellular,22,apr,104,1,183,4,failure,yes
900,52,admin.,single,secondary,no,545,yes,no,unknown,7,may,260,1,-1,0,unknown,no
39659,30,admin.,single,secondary,no,983,yes,no,cellular,27,may,189,2,-1,0,unknown,yes
3863,44,blue-collar,divorced,unknown,no,532,no,no,unknown,16,may,141,2,-1,0,unknown,no
4441,36,management,married,tertiary,no,860,yes,no,unknown,20,may,294,15,-1,0,unknown,no
45101,74,retired,married,secondary,no,935,no,no,cellular,25,oct,400,1,173,3,success,yes
39865,26,technician,married,secondary,no,915,no,no,cellular,2,jun,384,1,-1,0,unknown,yes
33688,24,student,single,secondary,no,597,yes,no,cellular,20,apr,943,3,-1,0,unknown,yes
38527,42,admin.,divorced,secondary,no,241,yes,no,cellular,15,may,1012,3,-1,0,unknown,yes
40683,67,management,married,tertiary,no,405,no,no,cellular,7,aug,345,2,-1,0,unknown,yes
42027,75,self-employed,married,unknown,no,4984,no,no,telephone,28,oct,509,1,-1,0,unknown,yes
1289,35,technician,married,secondary,no,319,yes,no,unknown,8,may,74,1,-1,0,unknown,no
15794,25,student,married,tertiary,no,10,yes,no,cellular,21,jul,857,4,-1,0,unknown,yes
33790,28,blue-collar,single,tertiary,no,4099,no,no,cellular,23,apr,116,4,-1,0,unknown,yes
43924,68,retired,divorced,primary,no,2027,no,no,cellular,15,jun,619,2,92,2,success,yes
521,42,management,married,tertiary,no,744,no,no,unknown,6,may,157,1,-1,0,unknown,no
1332,34,blue-collar,single,secondary,no,177,yes,no,unknown,8,may,500,1,-1,0,unknown,no
376,38,admin.,single,secondary,no,393,no,no,unknown,6,may,184,2,-1,0,unknown,no
17182,48,management,married,secondary,no,268,yes,no,cellular,28,jul,458,7,-1,0,unknown,yes
3498,50,management,married,tertiary,no,106,yes,no,unknown,15,may,388,2,-1,0,unknown,no
5145,36,admin.,divorced,secondary,yes,-491,yes,yes,unknown,21,may,671,3,-1,0,unknown,no
3896,33,blue-collar,married,secondary,no,64,no,no,unknown,16,may,239,3,-1,0,unknown,no
15906,44,management,married,primary,no,4758,yes,no,cellular,22,jul,712,6,-1,0,unknown,yes
559,42,technician,married,secondary,no,315,yes,no,unknown,6,may,259,2,-1,0,unknown,no
19730,33,technician,divorced,secondary,no,801,no,no,cellular,7,aug,341,5,-1,0,unknown,yes
38300,31,admin.,married,secondary,no,685,yes,no,cellular,15,may,552,1,329,3,failure,yes
3748,32,services,divorced,secondary,no,-115,yes,no,unknown,16,may,134,1,-1,0,unknown,no
3893,41,management,divorced,tertiary,no,647,yes,no,unknown,16,may,270,1,-1,0,unknown,no
42191,44,admin.,single,secondary,no,1534,no,no,cellular,10,nov,95,1,95,3,success,yes
31102,62,management,divorced,tertiary,no,5943,no,no,telephone,17,feb,196,4,-1,0,unknown,yes
5040,28,blue-collar,single,primary,no,722,yes,no,unknown,21,may,150,1,-1,0,unknown,no
10049,42,entrepreneur,married,tertiary,no,5345,no,no,unknown,11,jun,878,3,-1,0,unknown,yes
42677,60,retired,divorced,tertiary,no,979,yes,no,cellular,15,jan,295,3,347,1,failure,yes
32194,51,unemployed,married,tertiary,no,1801,no,no,cellular,16,apr,838,3,-1,0,unknown,yes
7953,27,blue-collar,married,primary,no,416,yes,no,unknown,30,may,1193,2,-1,0,unknown,yes
1969,33,blue-collar,married,primary,no,191,yes,no,unknown,9,may,162,2,-1,0,unknown,no
3469,40,retired,married,secondary,no,1842,no,no,unknown,15,may,56,1,-1,0,unknown,no
18126,35,management,married,tertiary,no,-468,yes,no,cellular,30,jul,540,8,-1,0,unknown,yes
1020,36,entrepreneur,married,tertiary,no,1722,yes,no,unknown,7,may,349,2,-1,0,unknown,no
41397,63,retired,married,secondary,no,4752,no,no,cellular,2,sep,233,2,-1,0,unknown,yes
5344,32,technician,married,secondary,no,0,yes,no,unknown,23,may,134,2,-1,0,unknown,no
1416,43,management,divorced,tertiary,no,388,yes,no,unknown,8,may,2087,2,-1,0,unknown,yes
42504,72,retired,married,secondary,no,1533,no,no,cellular,16,dec,546,2,-1,0,unknown,yes
45182,34,technician,married,secondary,no,133,no,no,cellular,15,nov,401,2,187,5,success,yes
1105,43,admin.,married,tertiary,no,1924,yes,no,unknown,7,may,244,7,-1,0,unknown,no
